iter	Passed	Remaining
0	10	1590
1	19	1453
2	28	1377
3	36	1349
4	45	1325
5	54	1304
6	63	1289
7	71	1273
8	80	1260
9	88	1245
10	97	1237
11	106	1224
12	115	1214
13	125	1221
14	133	1205
15	142	1194
16	150	1179
17	159	1171
18	169	1171
19	178	1160
20	187	1152
21	196	1143
22	204	1131
23	213	1119
24	222	1110
25	231	1103
26	240	1093
27	249	1085
28	257	1074
29	265	1062
30	274	1054
31	283	1044
32	292	1035
33	301	1028
34	310	1020
35	319	1011
36	327	1000
37	336	991
38	345	982
39	354	973
40	362	964
41	371	954
42	380	947
43	389	938
44	398	928
45	406	918
46	415	910
47	424	901
48	433	892
49	441	883
50	450	874
51	459	865
52	467	856
53	476	847
54	485	838
55	493	828
56	502	819
57	510	810
58	519	801
59	527	791
60	536	783
61	545	774
62	553	764
63	562	755
64	571	746
65	580	738
66	588	729
67	597	720
68	605	710
69	614	702
70	622	693
71	631	684
72	639	674
73	648	665
74	657	657
75	664	647
76	673	638
77	682	629
78	691	621
79	699	612
80	708	603
81	717	594
82	725	586
83	734	577
84	743	568
85	751	559
86	759	550
87	768	541
88	776	532
89	785	523
90	795	515
91	803	506
92	812	497
93	821	489
94	830	480
95	839	472
96	847	463
97	855	454
98	864	445
99	872	436
100	880	427
101	889	418
102	898	410
103	907	401
104	915	392
105	924	383
106	933	374
107	942	366
108	950	357
109	959	348
110	968	340
111	975	331
112	984	322
113	993	313
114	1002	304
115	1010	296
116	1020	287
117	1029	279
118	1037	270
119	1046	261
120	1054	252
121	1063	244
122	1072	235
123	1081	226
124	1090	218
125	1098	209
126	1107	200
127	1116	191
128	1124	183
129	1133	174
130	1143	165
131	1152	157
132	1161	148
133	1170	139
134	1178	130
135	1187	122
136	1196	113
137	1204	104
138	1213	96
139	1221	87
140	1230	78
141	1238	69
142	1247	61
143	1256	52
144	1264	43
145	1273	34
146	1282	26
147	1291	17
148	1299	8
149	1308	0
